#English multiwords file used for EnglishHybridDisambiguator
# Use this file only for multi-word terms that have these properties: 1) disambiguation is not necessary. 2) the term has only one part of speech (NOT sotto voce, which is RB and JJ).
# Do not add the term to spelling.txt, because spelling is ignored automatically for each term in this file.
# Terms are case-sensitive, but for each term, POS is added and spelling is ignored for (1) all uppercase text and (2) for text that has a capital letter for the first character of the first word.
All Saints Sisters of the Poor	NNP # www.allsaintssistersofthepoor.org.uk
San Pablo de las Salinas	NNP
Chilpancingo de los Bravo	NNP
Poza Rica de Hidalgo	NNP
Poza Rica	NNP
Chicoloapan de Juárez	NNP
Ciudad del Carmen	NNP
Chalco de Díaz Covarrubias	NNP
San Luis Río Colorado	NNP
Benito Juárez	NNP
Ciudad Benito Juárez	NNP
Piedras Negras	NNP
Playa del Carmen	NNP
San Juan del Río	NNP
Colima City	NNP
Ciudad Acuña	NNP
Zacatecas City	NNP
Veracruz City	NNP
Boca del Río	NNP
Ciudad Valles	NNP
San Pedro Garza García	NNP
Ciudad de Villa de Álvarez	NNP
Villa de Álvarez	NNP
Hidalgo del Parral	NNP
Tulancingo de Bravo	NNP
Naucalpan de Juárez	NNP
Acapulco de Juárez	NNP
Tlalnepantla de Baz	NNP
Cuautitlán Izcalli	NNP
Quintana Roo	NNP
Baja California Sur	NNP
Baja California	NNP
Nuevo León	NNP
Sinaloa Cartel	NNP
Cártel de Sinaloa	NNP
El Segundo	NNP
El Monte	NNP
El Nido	NNP
El Paso de Robles	NNP
El Paso Robles	NNP
El Portal	NNP
El Rancho	NNP
El Rio	NNP
El Segundo	NNP
El Sobrante	NNP
El Verano	NNP
El Brazil	NNP
El Camino Angosto	NNP
El Campo	NNP
El Castillo	NNP
El Rito	NNP
El Duende	NNP
El Cerro	NNP
El Valle de Arroyo Seco	NNP
El Cenizo	NNP
El Chaparral	NNP
San Buenaventura	NNP
Rancho Cucamonga	NNP
Chula Vista	NNP
El Al	NNP
Al From	NNP
Puente Alto	NNP
Viña del Mar	NNP
San Bernardo	NNP
La Pintana	NNP
Puerto Montt	NNP
La Serena	NNP
Punta Arenas	NNP
Villa Alemana	NNP
Bill de Blasio	NNP
salaam alaikum	UH
assalamu alaikum	UH
as-salamu alaikum	UH
Duquesne University	NNP
Al Pacino	NNP
Bruce Willis	NNP
Woody Harrelson	NNP
Tom Hanks	NNP
Matt Damon	NNP
Brad Pitt	NNP
Morgan Freeman	NNP
Robert De Niro	NNP
George Clooney	NNP
Clint Eastwood	NNP
Russell Crowe	NNP
Alphen aan den Rijn	NNP
Almere Stad	NNP
Bergen op Zoom	NNP
Capelle aan den IJssel	NNP
Den Helder	NNP
Krimpen aan den IJssel	NNP
Groot IJsselmonde	NNP
East Flanders	NNP
West Flanders	NNP
Flemish Brabant	NNP
Walloon Brabant	NNP
Flemish Region	NNP
Walloon Region	NNP
La Louvière	NNP
Braine-l'Alleud	NNP
Grand Est	NNP
Centre-Val de Loire	NNP
Pays de la Loire	NNP
Le Havre	NNP
Côte-d'Or	NNP
Le Mans	NNP
Centre-Val de Loire	NNP
Le Tampon	NNP
La Rochelle	NNP
Les Abymes	NNP
Snoop Dogg	NNP
Pita Jungle	NNP
Bud Light	NNP
Budweiser Light	NNP
J.D. Power	NNP
JD Power	NNP
Kia Motors	NNP
Scania AB	NNP
Agoura Hills	NNP
Simi Hills	NNP
James Bond	NNP
Quinnipiac University	NNP
California Consumer Privacy Act	NNP
AB Kinnevik	NNP
Rocket Internet	NNP
Villa Rican	NNP
Dutchess County	NNP
Tommy Hilfiger	NNP
Tis Hazari	NNP
Lincoln LS	NNP
Vanilla Ice	NNP
Mount Airy	NNP
con forza	RB
SAP Litmos	NNP
salicylic acid	NN:UN
salicylic acids	NNS
Getty Images	NNP
Frankfurter Allgemeine	NNP
Frankfurter Allgemeine Zeitung	NNP
Petri dish	NN
Petri dishes	NNS
Ken Caryl	NNP
Pueblo West	NNP
Summerlin South	NNP
Perth Amboy	NNP
Lower Merion	NNP
Lower Makefield	NNP
Bethel Park	NNP
Lower Macungie	NNP
Des Plaines	NNP
Tinley Park	NNP
Glen Ellyn	NNP
North Ridgeville	NNP
North Royalton	NNP
St. Catharines	NNP
Kawartha Lakes	NNP
Sault Ste. Marie	NNP
Port Coquitlam	NNP
Parsippany-Troy Hills	NNP
Saint Germain	NNP
Travis CI	NNP
Los Zetas	NNP
Gomhoria Shebeen	NNP
David Ige	NNP
Jared Polis	NNP
Asa Hutchinson	NNP
Tim Walz	NNP
Chris Sununu	NNP
Doug Burgum	NNP
Kevin Stitt	NNP
Gina Raimondo	NNP
Kristi Noem	NNP
Tony Evers	NNP
Muriel Bowser	NNP
LG Chem	NNP
LG Chemical	NNP
Opel Ampera	NNP
glycolic acid	NN
glycolic acids	NNS
Rio Rancho	NNP
Casas Adobes	NNP
Lake Havasu	NNP
Oro Valley	NNP
Eau Claire	NNP
West Allis	NNP
Menomonee Falls	NNP
Mililani Town	NNP
Ewa Gentry	NNP
verruca vulgaris	NN
verruca vulgarises	NNS
Shawty Lo	NNP
Kaleyard School	NNP
Eddie Van Halen	NNP
Dick Van Dyke	NNP
Truman Capote	NNP
Al Nahyan	NNP
Reckitt Benckiser	NNP
Cillit Bang	NNP
Air Wick	NNP
Pensacola Beach	NNP
Escambia County	NNP
After Effects	NNP
Cádiz y Algeciras	NNP
Cádiz y Ceuta	NNP
Cádiz y Málaga	NNP
Costa de la Luz	NNP
Ford Bronco	NNP
Dhaleshwari River	NNP
Moto X	NNP
Moto G	NNP
Moto E	NNP
Moto 360	NNP
Moto Razr	NNP
Audi Quattro	NNP
Lamborghini Gallardo	NNP
Porsche 550 Spyder	NNP
Porsche Spyder	NNP
Toyota MR2	NNP
Secret Escapes	NNP
Umatilla County	NNP
Nittany Lions	NNP
Neyland Stadium	NNP
Tiger Stadium	NNP
Oklahoma Sooners	NNPS
Lambeau Field	NNP
Doak Campbell	NNP
Mercedes-Benz Superdome	NNP
Faurot Field	NNP
Redbox Bowl	NNP
Kinnick Stadium	NNP
Virginia Tech Hokies	NNP
Gasparilla Bowl	NNP
Lucas Oil	NNP
Puerto Rican	NNP
Puerto Ricans	NNPS
Puerto Rican	JJ
Costa Rican	NNP
Costa Ricans	NNPS
Costa Rican	JJ
AMC Theatres	NNP
AMD Athlon	NNP
xanthan gum	NN
xanthan gums	NNS
en suite	JJ
Jeffree Star	NNP
Welwyn Garden	NNP
Tesco Clubcard	NNP
Mato Grosso	NNP
Minas Gerais	NNP
Mato Grosso do Sul	NNP
Rio Grande do Sul	NNP
Rio Grande do Norte	NNP
Espírito Santo	NNP
Distrito Federal	NNP
Belo Horizonte	NNP
Porto Alegre	NNP
São Luís	NNP
São Gonçalo	NNP
Duque de Caxias	NNP
Campo Grande	NNP
São Bernardo do Campo	NNP
Nova Iguaçu	NNP
João Pessoa	NNP
São José dos Campos	NNP
Santo André	NNP
Ribeirão Preto	NNP
Jaboatão dos Guararapes	NNP
Feira de Santana	NNP
Aparecida de Goiânia	NNP
Juiz de Fora	NNP
Porto Velho	NNP
Belford Roxo	NNP
Caxias do Sul	NNP
Campos dos Goytacazes	NNP
Vila Velha	NNP
São João de Meriti	NNP
São José do Rio Preto	NNP
Mogi das Cruzes	NNP
Campina Grande	NNP
Montes Claros	NNP
Rio Branco	NNP
São Vicente	NNP
Ponta Grossa	NNP
Vitória da Conquista	NNP
Ribeirão das Neves	NNP
Praia Grande	NNP
São José dos Pinhais	NNP
Vesey Street	NNP
Hudson Street	NNP
Parque Metropolitano	NNP
Viña del Mar	NNP
Las Condes	NNP
El Bosque	NNP
Cerro Navia	NNP
La Granja	NNP
Estación Central	NNP
Los Ángeles	NNP
Lo Espejo	NNP
Pedro Aguirre Cerda	NNP
La Florida	NNP
San Joaquín	NNP
Best Buy	NNP
Estadio Nacional	NNP
Avenue de la Grande Armée	NNP
Avenue Marceau	NNP
Grande Armée	NNP
Porte Maillot	NNP
Avenue des Champs-Élysées	NNP
Lake Starnberg	NNP
Krispy Kreme	NNP
Krispy Kreme Doughnuts	NNP
JAB Holding	NNP
Lake Piru	NNP
Principia Mathematica	NNP
Yolanda Be Cool	NNP
Giga Nevada	NNP
Giga New York	NNP
Giga Shanghai	NNP
Honda CR-V	NNP
Hans Zimmer	NNP
Isuzu Trooper	NNP
Jack Ma	NNP
Estádio Olímpico	NNP
Fountain Valley	NNP
BoJack Horseman	NNP
American Express Travelers Cheque	NNP
American Express Travelers Cheques	NNPS
American Express Traveler's Cheque	NNP
American Express Traveler's Cheques	NNPS
Empire State Index	NNP
Empire State Realty Trust	NNP
Jio Platforms	NNP
Itaú Unibanco	NNP
Banco Itaú Unibanco	NNP
Banco Bradesco	NNP
Banco do Brasil	NNP
Caixa Econômica Federal	NNP
Companhia Siderúrgica Nacional	NNP
América Móvil	NNP
Grupo México	NNP
Fibra Uno	NNP
Grupo Carso	NNP
AB InBev	NNP
Ahold Delhaize	NNP
Louis Dreyfus	NNP
Rio Tinto	NNP
Ars Technica	NNP
GQ Magazine	NNP
Facebook Ads	NNP
Google Ads	NNP
LinkedIn Ads	NNP
Getty Images	NNP
ITV News	NNP
Belle Chasse	NNP
Sequoia Capital	NNP
Khosla Ventures	NNP
RingCentral Glip	NNP
RingCentral Coliseum	NNP
Paris Agreement	NNP
Kuan Hua	NNP
Mario Kart	NNP
Super Mario Kart	NNP
Donkey Kong	NNP
Rosetta Stone	NNP
Condé Nast	NNP
Vanity Fair	NNP
CTS Eventim	NNP
Yoast SEO	NNP
Vanessa Paradis	NNP
shea butter	NN:UN
shea butters	NNS
Culver City	NNP
San Diegan	JJ
San Diegan	NNP
San Diegans	NNPS
El Paso	NNP
El Pasoan	JJ
El Pasoan	NNP
El Pasoans	NNPS
Los Angeleno	NNP
Los Angelenos	NNP
San Jose del Monte	NNP
Dawg Pound	NNP
Holiday Inn	NNP
Coney Island	NNP
Ali Khamenei	NNP
Bear Stearns	NNP
Hasbrouck Heights	NNP
DJ Khaled	NNP
Mark Rutte	NNP
DJ Snake	NNP
Major Lazer	NNP
La Haine	NNP
Namib Desert	NNP
Atacama Desert	NNP
Sahara Desert	NNP
Gobi Desert	NNP
Mojave Desert	NNP
Antarctic Desert	NNP
Sonoran Desert	NNP
Thar Desert	NNP
Tabernas Desert	NNP
Taklamakan Desert	NNP
Pinnacles Desert	NNP
Salar de Uyuni	NNP
Dasht-e Kavir	NNP
Chihuahuan Desert	NNP
Kalahari Desert	NNP
Patagonian Desert	NNP
Karakum Desert	NNP
Kyzylkum Desert	NNP
Dasht-e Loot	NNP
Ant Financial	NNP
Noble Energy	NNP
Guy Kawasaki	NNP
Glenns Creek	NNP
Jim Beam	NNP
Times New Roman	NNP
Dieter Rams	NNP
La Follette	NNP
Geary County	NNP
Junction City	NNP
Fort Riley	NNP
General Mills	NNP
iA Writer	NNP
Eau Gallie	NNP
Bang & Olufsen	NNP
Bang and Olufsen	NNP
Wizz Air	NNP
Daft Punk	NNP
Aperol Spritz	NNP
San Antonian	JJ
San Antonian	NNP
San Antonians	NNPS
Terre Haute	NNP
Balcones Fault	NNP
Harley-Davidson Sportster	NNP
SAP NetWeaver	NNP
SAP ERP	NNP
SAP CRM	NNP
Davis Cup	NNP
Santo Domingo	NNP
Harman Kardon	NNP
Trujillo Alto	NNP
Vega Baja	NNP
Brazos River	NNP
Pecos River	NNP
Kuskokwim River	NNP
Cimarron River	NNP
Cumberland River	NNP
North Platte River	NNP
Ouachita River	NNP
Saint Lawrence River	NNP
Gila River	NNP
Sheyenne River	NNP
Tanana River	NNP
Smoky Hill River	NNP
Niobrara River	NNP
Little Missouri River	NNP
Sabine River	NNP
James River	NNP
Des Moines River	NNP
Trinity River	NNP
Wabash River	NNP
Mackenzie River	NNP
Nelson River	NNP
Saskatchewan River	NNP
Churchill River	NNP
South Saskatchewan River	NNP
North Saskatchewan River	NNP
Fraser River	NNP
Ottawa River	NNP
Athabasca River	NNP
Liard River	NNP
Assiniboine River	NNP
Albany River	NNP
Severn River	NNP
Thelon River	NNP
La Grande River	NNP
Koksoak River	NNP
Coppermine River	NNP
Dubawnt River	NNP
Winnipeg River	NNP
Kootenay River	NNP
Nottaway River	NNP
Rupert River	NNP
Eastmain River	NNP
Attawapiskat River	NNP
Kazan River	NNP
Red Deer River	NNP
Great Whale River	NNP
Porcupine River	NNP
Pend d'Oreille River	NNP
Saguenay River	NNP
Saint John River	NNP
Stewart River	NNP
Lululemon Athletica	NNP
Bharti Airtel	NNP
post facto	RB
post facto	JJ
Kantar Group	NNP
Millward Brown	NNP
Chandni Chowk	NNP
Jama Masjid	NNP
Booking.com	NNP
Porsche Cayman	NNP
Coeur d'Alene	NNP
Eid Mubarak	NNP
Banco Santander	NNP
170 Systems	NNP
A380	NNP
A320	NNP
A350	NNP
A321neo	NNP
force majeure	NN:U
the Cerrado	NNP
van der Waal	NNP
van der Waals	NNP
New Lenox	NNP
Eid al-Fitr	NNP
Eid al-Adha	NNP
bona fide	JJ
bona fide	RB
ad hoc	JJ
ad hoc	RB
Aldi Nord	NNP
ALDI Nord	NNP
Aldi Süd	NNP
ALDI Süd	NNP
cabernet sauvignon	NN:UN
Cabernet Sauvignon	NNP
cabernet sauvignons	NNS
sauvignon blanc	NN
sauvignon blancs	NNS
Jay Leno	NNP
Jay Park	NNP
Ally Financial	NNP
Kohlberg Kravis Roberts	NNP
Tom Selleck	NNP
De Anza College	NNP
De Anza	NNP
Los Gatos	NNP
Palo Alto-based	JJ
Tottenham Hotspur	NNP
Atlético Madrid	NNP
Borussia Dortmund	NNP
Paris Saint-Germain	NNP
Banc of America Capital Management	NNP
Keyboard Maestro	NNP
Wall Streetish	JJ
Cardi B	NNP
Juice WRLD	NNP
McLennan County	NNP
Cape Cod	NNP
Towson University	NNP
Wigan Athletic	NNP
WE TV	NNP
McLaren GT	NNP
Ford GT	NNP
World Factbook	NNP
Saint Kitts	NNP
Star Wars	NNP
Guild Wars	NNP
Liu He	NNP
Huang He	NNP
Liu Hu	NNP
Kingsley Coman	NNP
Camp Nou	NNP
Megan Thee Stallion	NNP
Townsen Creek	NNP
Lil Durk	NNP
J Balvin	NNP
Lo Nuestro Awards	NNP
Lo Nuestro Awards	NNPS
Grant Park	NNP
Sergey Brin	NNP
smart fortwo	NNP
smart forfour	NNP
Smart Fortwo	NNP
Smart Forfour	NNP
Home Depot	NNP
Best Buy	NNP
Air Jordan	NNP
Air Jordans	NNPS
Lake Garda	NNP
Riva del Garda	NNP
Grotte di Catullo	NNP
Deutsche Börse	NNP
Shinzo Abe	NNP
Shinzō Abe	NNP
lorem ipsum	NNP
Rand Paul	NNP
MGM Resorts	NNP
Java SE	NNP
Cuba libre	NNP
Cuba Libre	NNP
Lionel Messi	NNP
Bombay High Court	NNP
Brandenburger Tor	NNP
Brandenburg Gate	NNP
Unter den Linden	NNP
Pariser Platz	NNP
Brandenburg an der Havel	NNP
Knockturn Alley	NNP
Galileo Galilei	NNP
Citi Field	NNP
Prenzlauer Berg	NNP
Visegrád Four	NNP
Visegrad Four	NNP
Visegrád Group	NNP
Visegrad Group	NNP
Sjællands Odde	NNP
Ev Williams	NNP
Inspiris Resilia	NNP
Iliamna Lake	NNP
Lake Pend Oreille	NNP
Becharof Lake	NNP
Lake Sakakawea	NNP
Lake Oahe	NNP
Lake Champlain	NNP
Lake Mead	NNP
Flathead Lake	NNP
Fort Peck Lake	NNP
Lake Chelan	NNP
Lake Powell	NNP
Salton Sea	NNP
Seneca Lake	NNP
Cayuga Lake	NNP
Lake Shasta	NNP
Sam Rayburn Reservoir	NNP
Lake Oroville	NNP
Lake Amistad	NNP
Berkshire County	NNP
Kootenai County	NNP
Coeur d'Alene	NNP
Coeur d’Alene	NNP
Gunpowder Plot	NNP
Gunpowder Treason Plot	NNP
United States Census Bureau	NNP
US Census Bureau	NNP
U.S. Census Bureau	NNP
Cook County	NNP
Miami-Dade County	NNP
Dallas County	NNP
Kings County	NNP
Riverside County	NNP
Queens County	NNP
King County	NNP
San Bernardino County	NNP
Tarrant County	NNP
Bexar County	NNP
Broward County	NNP
Santa Clara County	NNP
Wayne County	NNP
Alameda County	NNP
New York County	NNP
Philadelphia County	NNP
Sacramento County	NNP
Palm Beach County	NNP
Bronx County	NNP
Nassau County	NNP
Franklin County	NNP
Travis County	NNP
Hennepin County	NNP
Oakland County	NNP
Cuyahoga County	NNP
Allegheny County	NNP
Salt Lake County	NNP
Contra Costa County	NNP
Fairfax County	NNP
Wake County	NNP
Mecklenburg County	NNP
Fulton County	NNP
Pima County	NNP
Collin County	NNP
Fresno County	NNP
St. Louis County	NNP
Pinellas County	NNP
Westchester County	NNP
Duval County	NNP
Milwaukee County	NNP
Fairfield County	NNP
Shelby County	NNP
Gwinnett County	NNP
Bergen County	NNP
DuPage County	NNP
Erie County	NNP
Prince George's County	NNP
Pierce County	NNP
Kern County	NNP
Hartford County	NNP
Denton County	NNP
Macomb County	NNP
Hidalgo County	NNP
New Haven County	NNP
Ventura County	NNP
Worcester County	NNP
Baltimore County	NNP
Middlesex County	NNP
Snohomish County	NNP
Multnomah County	NNP
Fort Bend County	NNP
Suffolk County	NNP
Oklahoma County	NNP
Essex County	NNP
Lee County	NNP
San Mateo County	NNP
San Joaquin County	NNP
Cobb County	NNP
DeKalb County	NNP
Monroe County	NNP
El Paso County	NNP
Norfolk County	NNP
Jackson County	NNP
Davidson County	NNP
Will County	NNP
Bernalillo County	NNP
Hudson County	NNP
Kent County	NNP
Arapahoe County	NNP
Tulsa County	NNP
Providence County	NNP
Utah County	NNP
Bucks County	NNP
Monmouth County	NNP
Ocean County	NNP
Johnson County	NNP
Brevard County	NNP
Washington County	NNP
Baltimore City County	NNP
Williamson County	NNP
Jefferson County	NNP
Anne Arundel County	NNP
Delaware County	NNP
Bristol County	NNP
New Castle County	NNP
Union County	NNP
Pasco County	NNP
Volusia County	NNP
Stanislaus County	NNP
Ramsey County	NNP
Dane County	NNP
Summit County	NNP
Guilford County	NNP
Kane County	NNP
Montgomery County	NNP
Chester County	NNP
Greenville County	NNP
Spokane County	NNP
Plymouth County	NNP
Adams County	NNP
Sedgwick County	NNP
Camden County	NNP
Passaic County	NNP
Sonoma County	NNP
Morris County	NNP
Polk County	NNP
Clark County	NNP
Ada County	NNP
Richmond County	NNP
Seminole County	NNP
Washoe County	NNP
Prince William County	NNP
Knox County	NNP
Hampden County	NNP
Tulare County	NNP
Pinal County	NNP
Onondaga County	NNP
York County	NNP
Solano County	NNP
Santa Barbara County	NNP
Burlington County	NNP
East Baton Rouge Parish	NNP
Monterey County	NNP
Sarasota County	NNP
Jefferson Parish	NNP
Dakota County	NNP
Lucas County	NNP
Cameron County	NNP
Berks County	NNP
Clackamas County	NNP
Hillsborough County	NNP
Richland County	NNP
Loudoun County	NNP
Mobile County	NNP
Charleston County	NNP
Genesee County	NNP
Waukesha County	NNP
Manatee County	NNP
St. Charles County	NNP
Placer County	NNP
San Juan Municipality County	NNP
Pulaski County	NNP
Orleans Parish	NNP
Collier County	NNP
Butler County	NNP
Forsyth County	NNP
Lane County	NNP
Allen County	NNP
Osceola County	NNP
Brazoria County	NNP
Madison County	NNP
Stark County	NNP
Lehigh County	NNP
Washtenaw County	NNP
Mercer County	NNP
Lake County	NNP
Bell County	NNP
Nueces County	NNP
Anoka County	NNP
Larimer County	NNP
Davis County	NNP
Horry County	NNP
Chesterfield County	NNP
Douglas County	NNP
Westmoreland County	NNP
Marion County	NNP
Galveston County	NNP
Hamilton County	NNP
Cumberland County	NNP
Rutherford County	NNP
Henrico County	NNP
Somerset County	NNP
St. Lucie County	NNP
Boulder County	NNP
Rockland County	NNP
Howard County	NNP
Weld County	NNP
Fayette County	NNP
Durham County	NNP
Spartanburg County	NNP
Lancaster County	NNP
Escambia County	NNP
Luzerne County	NNP
Lubbock County	NNP
Lorain County	NNP
Rockingham County	NNP
McHenry County	NNP
Albany County	NNP
Northampton County	NNP
Lake Toho	NNP
Fernando de Noronha	NNP
Ursula K. Le Guin	NNP
Ursula Le Guin	NNP
Marina Bay Sands	NNP
Rue de Rivoli	NNP
Rue de Vaugirard	NNP
Sasanian Empire	NNP
Ottoman Empire	NNP
Sint Eustatius	NNP
Loudoun County	NNP
Rue de la Loi	NNP
Rue de la Paix	NNP
Rue de la Harpe	NNP
Rue de Montmorency	NNP
Khyber Pakhtunkhwa	NNP
Puerto Escondido	NNP
Blanc du Bois	NNP
Ocmulgee River	NNP
De Soto	NNP
DeSoto County	NNP
DeSoto Parish	NNP
DeSoto Falls	NNP
Rancho Mirage	NNP
Baillie Gifford	NNP
Sutter Hill	NNP
Zheng He	NNP
Homo erectus	NNP
Homo Erectus	NNP
salva veritate	RB
brachialis anticus	NN
brachialis anticuses	NNS
cross burning	NN
cross burnings	NNS
Keyser Söze	NNP
Ken Follet	NNP
Pearl River	NNP
Canton Tower	NNP
Xi River	NNP
Rio Hondo	NNP
Río Hondo	NNP
Hacienda Heights	NNP
La Habra Heights	NNP
La Habra	NNP
Puente Hills	NNP
San Gabriel Valley	NNP
Rowland Heights	NNP
Buena Park	NNP
Angeles National Forest	NNP
San Bernadino National Forest	NNP
Kill Van Kull	NNP
Raritan River	NNP
Raritan Bay	NNP
Passaic River	NNP
Alta Canyada	NNP
La Cañada Flintridge	NNP
Topanga State Park	NNP
Topanga Canyon	NNP
Redondo Beach	NNP
John Podesta	NNP
Jeff Weiner	NNP
Anthony Weiner	NNP
Ivy League	NNP
St. Gallen	NNP
Sankt Gallen	NNP
Rosh Hashanah	NNP
Rosh Chodesh	NNP
Quang Trung	NNP
Aucilla River	NNP
Ochlockonee River	NNP
Velda Mound	NNP
ad hominem	JJ
ad hominem	RB
Borsa Italiana	NNP
Ruth Bader Ginsburg	NNP
Ruth Ginsburg	NNP
Amy Coney	NNP
Barbara Lagoa	NNP
Korn Ferry	NNP
Sorrento Mesa	NNP
Los Peñasquitos	NNP
Torrey Pines	NNP
La Jolla	NNP
Navidad River	NNP
Point Loma	NNP
Cowles Mountain	NNP
Cuyamaca Mountains	NNP
Tolland County	NNP
Floyd Skloot	NNP
Lamar River	NNP
Lamar Valley	NNP
Powerpuff Girl	NNP
Powerpuff Girls	NNPS
Mojo Jojo	NNP
Gangreen Gang	NNP
San Luis Obispo	NNP
Lexington County	NNP
Cumberland County	NNP
Dutchess County	NNP
Leon County	NNP
Greene County	NNP
Ingham County	NNP
Clayton County	NNP
Ottawa County	NNP
Gloucester County	NNP
Thurston County	NNP
Chatham County	NNP
Cleveland County	NNP
San Luis Obispo County	NNP
Winnebago County	NNP
York County	NNP
Benton County	NNP
Dauphin County	NNP
Merced County	NNP
Webb County	NNP
Santa Cruz County	NNP
St. Joseph County	NNP
Kitsap County	NNP
Erie County	NNP
Alachua County	NNP
Kalamazoo County	NNP
St. Johns County	NNP
Brown County	NNP
Atlantic County	NNP
Madison County	NNP
Washington County	NNP
Buncombe County	NNP
St. Tammany Parish	NNP
Weber County	NNP
St. Clair County	NNP
Frederick County	NNP
Marin County	NNP
Cherokee County	NNP
McLennan County	NNP
Harford County	NNP
Cumberland County	NNP
Jefferson County	NNP
Yakima County	NNP
Clay County	NNP
Lafayette Parish	NNP
Forsyth County	NNP
Caddo Parish	NNP
Union County	NNP
Williamson County	NNP
Arlington County	NNP
Yavapai County	NNP
Warren County	NNP
Henry County	NNP
New Hanover	NNP
Sussex County	NNP
Smith County	NNP
Hinds County	NNP
Hays County	NNP
Lake County	NNP
Saratoga County	NNP
Canyon County	NNP
Whatcom County	NNP
Brazos County	NNP
Mahoning County	NNP
La Vergne	NNP
Phenix City	NNP
Vestavia Hills	NNP
